model,type,target,thr,AUC,AP,F1,Precision,Recall,Accuracy,cm_TN,cm_FP,cm_FN,cm_TP,status,R2,RMSE
ReadmissionPredictor,classification,label_readmit,0.4,0.9966442973421927,0.9856696524018698,0.9519700481369228,0.9504449982200072,0.9535,0.98653,85304.0,696.0,651.0,13349.0,OK,,
Readmission90DPredictor,classification,label_readmit,0.4,0.9966442973421927,0.9856696524018698,0.9519700481369228,0.9504449982200072,0.9535,0.98653,85304.0,696.0,651.0,13349.0,OK,,
MortalityRiskModel,classification,mortality_1y,0.25,0.9148201874999999,0.6312757871236878,0.5787982804012397,0.48225690009440775,0.7236666666666667,0.87361,78677.0,9323.0,3316.0,8684.0,OK,,
ICUAdmissionPredictor,classification,icu_admit,0.15000000000000002,0.8045534299242424,0.4466575926310633,0.40746460746460744,0.2947858472998138,0.6595833333333333,0.7698,69065.0,18935.0,4085.0,7915.0,OK,,
SepsisEarlyWarning,classification,sepsis_label,0.15000000000000002,0.8021244957386364,0.44134489093732443,0.4072426605264535,0.2968189793271798,0.6485,0.77346,69564.0,18436.0,4218.0,7782.0,OK,,
DiabetesComplicationRisk,classification,dm_complication,0.30000000000000004,0.9508338139534883,0.7934665673308439,0.722467230184981,0.6323718636071198,0.8425,0.90938,79143.0,6857.0,2205.0,11795.0,OK,,
HypertensionControlPredictor,classification,htn_uncontrolled,0.2,0.727434703125,0.4765701461108307,0.4312541349301939,0.32634984210120926,0.63555,0.66473,53762.0,26238.0,7289.0,12711.0,OK,,
HeartFailure30DRisk,classification,hf_30d,0.15000000000000002,0.8057178958333333,0.44266842128868655,0.40946566478814445,0.2980477058644789,0.6539166666666667,0.77366,69519.0,18481.0,4153.0,7847.0,OK,,
StrokeRiskPredictor,classification,stroke_label,0.25,0.9224951912878788,0.6734755427027692,0.6114378853376798,0.5318702995931451,0.719,0.89034,80406.0,7594.0,3372.0,8628.0,OK,,
COPDExacerbationPredictor,classification,copd_exac,0.2,0.8065664285714285,0.527119706435707,0.4586621471320375,0.3644474370844205,0.6185714285714285,0.79558,70898.0,15102.0,5340.0,8660.0,OK,,
AKIRiskPredictor,classification,aki_label,0.2,0.8631575369318182,0.5457977885275129,0.5107770567711221,0.4195639363582793,0.6526666666666666,0.84997,77165.0,10835.0,4168.0,7832.0,OK,,
AdverseDrugEventPredictor,classification,ade_label,0.2,0.8328468214285715,0.5090143959134921,0.4728146013448607,0.356150506512301,0.7031428571428572,0.78048,68204.0,17796.0,4156.0,9844.0,OK,,
NoShowAppointmentPredictor,classification,no_show,0.2,0.7153123863636364,0.45014305817490174,0.4304001638546814,0.29956520189600483,0.7641363636363636,0.55504,38693.0,39307.0,5189.0,16811.0,OK,,
DiseaseRiskPredictor,classification,outcome,0.4,0.9491363589409723,0.9222107384246658,0.8319995696090167,0.8064978748924408,0.8591666666666666,0.87509,56579.0,7421.0,5070.0,30930.0,OK,,
LengthOfStayRegressor,regression,los_days,,,,,,,,,,,,OK,0.7491136581550125,0.9231843893027971
CostOfCareRegressor,regression,cost_of_care,,,,,,,,,,,,OK,0.7908156621721977,477.92080023220984
AnemiaSeverityRegressor,regression,anemia_severity_score,,,,,,,,,,,,OK,0.9199517188101972,0.47761730541526287
