model,type,target,model_file,metrics_file,train_auc,train_best_threshold,smoke_pred_mean,smoke_proba_mean,hold_f1,hold_acc,hold_auc,hold_ap,status,train_mae,train_r2,hold_r2,hold_rmse
ReadmissionPredictor,classification,label_readmit,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\ReadmissionPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\ReadmissionPredictor_metrics.json,0.9668706706810631,0.4,0.109375,0.13389322135998516,0.740290309925461,0.9338,0.9668706706810631,0.8494269207214203,PASS,,,,
Readmission90DPredictor,classification,label_readmit,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\Readmission90DPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\Readmission90DPredictor_metrics.json,0.9668706706810631,0.4,0.109375,0.13389322135998516,0.740290309925461,0.9338,0.9668706706810631,0.8494269207214203,PASS,,,,
MortalityRiskModel,classification,mortality_1y,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\MortalityRiskModel.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\MortalityRiskModel_metrics.json,0.8542095170454547,0.25,0.03125,0.09411931782960892,0.2958406561218512,0.8798,0.8542095170454547,0.41687117331148205,PASS,,,,
ICUAdmissionPredictor,classification,icu_admit,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\ICUAdmissionPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\ICUAdmissionPredictor_metrics.json,0.672929071969697,0.15000000000000002,0.0,0.09650254994630814,0.041666666666666664,0.8781,0.672929071969697,0.21557285249023855,PASS,,,,
SepsisEarlyWarning,classification,sepsis_label,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\SepsisEarlyWarning.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\SepsisEarlyWarning_metrics.json,0.6708399739583333,0.15000000000000002,0.015625,0.1324400007724762,0.051381860646165824,0.87815,0.6708399739583333,0.2184462240784703,PASS,,,,
DiabetesComplicationRisk,classification,dm_complication,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\DiabetesComplicationRisk.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\DiabetesComplicationRisk_metrics.json,0.9119129568106312,0.30000000000000004,0.140625,0.1474907398223877,0.6492220650636492,0.9008,0.9119129568106312,0.6280869108967837,PASS,,,,
HypertensionControlPredictor,classification,htn_uncontrolled,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\HypertensionControlPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\HypertensionControlPredictor_metrics.json,0.6532529687499999,0.2,0.0,0.20398378012477925,0.0,0.8,0.6532529687499999,0.3192170328575451,PASS,,,,
HeartFailure30DRisk,classification,hf_30d,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\HeartFailure30DRisk.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\HeartFailure30DRisk_metrics.json,0.6776206676136363,0.15000000000000002,0.0,0.11393341422080994,0.04533020711215319,0.87785,0.6776206676136363,0.22240610518284,PASS,,,,
StrokeRiskPredictor,classification,stroke_label,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\StrokeRiskPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\StrokeRiskPredictor_metrics.json,0.8677289772727272,0.25,0.09375,0.13825464248657227,0.4105635720119793,0.89175,0.8677289772727272,0.49375641292149786,PASS,,,,
COPDExacerbationPredictor,classification,copd_exac,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\COPDExacerbationPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\COPDExacerbationPredictor_metrics.json,0.7526043604651163,0.2,0.03125,0.13629849545702796,0.2808316718883509,0.87375,0.7526043604651163,0.4167595166740997,PASS,,,,
AKIRiskPredictor,classification,aki_label,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\AKIRiskPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\AKIRiskPredictor_metrics.json,0.7804340198863636,0.2,0.015625,0.11456159502267838,0.21517331589274036,0.88,0.7804340198863636,0.34846751750605964,PASS,,,,
AdverseDrugEventPredictor,classification,ade_label,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\AdverseDrugEventPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\AdverseDrugEventPredictor_metrics.json,0.7870205357142857,0.2,0.0,0.14652278616769132,0.00991150442477876,0.86015,0.7870205357142857,0.3634585165640991,PASS,,,,
NoShowAppointmentPredictor,classification,no_show,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\NoShowAppointmentPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\NoShowAppointmentPredictor_metrics.json,0.6391729166666666,0.2,0.0,0.23042330877711187,0.0,0.78,0.6391729166666666,0.3266862963599979,PASS,,,,
DiseaseRiskPredictor,classification,outcome,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\DiseaseRiskPredictor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\DiseaseRiskPredictor_metrics.json,0.9265217393663193,0.4,0.375,0.39161425828933716,0.790501996577296,0.8531,0.9265217393663193,0.8896447094764068,PASS,,,,
LengthOfStayRegressor,regression,los_days,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\LengthOfStayRegressor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\LengthOfStayRegressor_metrics.json,,,3.653566712848723,,,,,,PASS,0.781373895979685,0.7205290329890265,0.7205290329890265,0.9760168507837436
CostOfCareRegressor,regression,cost_of_care,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\artifacts\models\CostOfCareRegressor.joblib,D:\Downloads\medical-intellianalytics-pro-v3\medical-intellianalytics-pro\training_outputs\CostOfCareRegressor_metrics.json,,,9037.0546875,,,,,,PASS,407.39654612597656,0.7613860064071333,0.7613860064071333,511.09434931079676
